DOID	PubChem
Celiac disease	520455
Celiac disease	8164
Celiac disease	61030
Celiac disease	2879
Celiac disease	12391
Celiac disease	996
Celiac disease	998
Celiac disease	1032
Celiac disease	107738
Celiac disease	7997
Celiac disease	1031
Celiac disease	7770
Celiac disease	7803
Celiac disease	1051
Celiac disease	52922056
Celiac disease	7501
Celiac disease	9862
Celiac disease	31291
Celiac disease	12389
Celiac disease	8209
Celiac disease	8030
Celiac disease	91825636
Celiac disease	1140
Celiac disease	8207
Celiac disease	1145
Celiac disease	5601
Celiac disease	7991
Celiac disease	7720
Cerebral creatine deficiency syndrome 1	586
Cerebral creatine deficiency syndrome 1	763
Cerebral creatine deficiency syndrome 2	222
Cerebral creatine deficiency syndrome 2	588
Cerebral creatine deficiency syndrome 2	763
Cerebral creatine deficiency syndrome 2	61503
Cerebral creatine deficiency syndrome 2	1175
Cerebral creatine deficiency syndrome 3	586
Cerebral creatine deficiency syndrome 3	763
Cerebral folate transport deficiency	439234
Cerebral infarction	649
Cerebral infarction	681
Cerebral infarction	5816
Cerebral infarction	439260
Cerebral infarction	5288144
Cerebral infarction	1174
Cerebral vasospasm	5312983
Cerebral vasospasm	5283157
Cerebral vasospasm	21252250
Cerebrocortical degeneration	1132
Cerebrotendinous xanthomatosis	27476
Cerebrotendinous xanthomatosis	6665
Cerebrotendinous xanthomatosis	14985
Cerebrotendinous xanthomatosis	271
Cerebrotendinous xanthomatosis	5997
Cerebrotendinous xanthomatosis	65728
Cerebrotendinous xanthomatosis	5462309
Cerebrotendinous xanthomatosis	26840
Cerebrotendinous xanthomatosis	5280795
Cervical myelopathy	702
Cholangiocarcinoma	27476
Choledochal cysts	23617285
Cholelithiasis	5997
"Cholestasis, progressive familial intrahepatic, 1"	21252250
Cholesteryl ester storage disease	5997
Cholesteryl ester storage disease	1176
"Chondrodysplasia punctata, X-linked dominant"	129846
"Chondrodysplasia punctata, X-linked dominant"	5997
Chronic active hepatitis	23617285
Chronic kidney disease	9305
Chronic kidney disease	5461103
Chronic kidney disease	11522049
Chronic pancreatitis	123743
Chronic progressive external ophthalmoplegia and Kearns-Sayre syndrome	61503
Chronic renal failure	204
Chronic renal failure	247
Chronic renal failure	588
Chronic renal failure	6076
Chronic renal failure	3520
Chronic renal failure	439918
Chronic renal failure	763
Chronic renal failure	778
Chronic renal failure	6322
Chronic renal failure	6325610
Chronic renal failure	10111
Chronic renal failure	32051
Cirrhosis	457
Cirrhosis	262
Cirrhosis	1000
Cirrhosis	558
Cirrhosis	123675
Cirrhosis	500
Cirrhosis	6665
Cirrhosis	53477732
Cirrhosis	160437
Cirrhosis	65076
Citrullinemia type I	222
Citrullinemia type I	9750
Citrullinemia type I	6322
"Citrullinemia type II, adult-onset"	222
"Citrullinemia type II, adult-onset"	9750
"Citrullinemia type II, neonatal-onset"	21252250
"Citrullinemia type II, neonatal-onset"	9750
"Citrullinemia type II, neonatal-onset"	6322
"Citrullinemia type II, neonatal-onset"	5962
"Citrullinemia type II, neonatal-onset"	6137
"Citrullinemia type II, neonatal-onset"	6288
"Citrullinemia type II, neonatal-onset"	6057
CNS infections	161166
CNS infections	4455
CNS infections	1066
CNS tumors	161166
CNS tumors	4455
CNS tumors	1066
Cobalamin A disease	440279
Cobalamin F disease (cblF)	6857388
Cobalamin F disease (cblF)	6137
Cobalamin F disease (cblF)	487
Cobalamin malabsorption	53477772
Cobalamin malabsorption	487
Coenzyme Q10 deficiency	61503
"Coenzyme Q10 deficiency, primary, 1"	16741146
"Coenzyme Q10 deficiency, primary, 1"	61503
"Coenzyme Q10 deficiency, primary, 5"	5950
Cognitive disorders	10805
Colorectal cancer	440279
Colorectal cancer	5312860
Colorectal cancer	54456
Colorectal cancer	440873
Colorectal cancer	441447
Colorectal cancer	10458
Colorectal cancer	4091
Colorectal cancer	14925
Colorectal cancer	79437
Colorectal cancer	428
Colorectal cancer	321710
Colorectal cancer	70346
Colorectal cancer	91611
Colorectal cancer	5312435
Colorectal cancer	5282768
Colorectal cancer	520298
Colorectal cancer	6443013
Colorectal cancer	151014
Colorectal cancer	3083779
Colorectal cancer	2682
Colorectal cancer	27476
Colorectal cancer	27476
Colorectal cancer	69726
Colorectal cancer	80220
Colorectal cancer	86555
Colorectal cancer	7408
Colorectal cancer	10029397
Colorectal cancer	5312435
Colorectal cancer	262
Colorectal cancer	66520
Colorectal cancer	227
Colorectal cancer	101122
Colorectal cancer	227939
Colorectal cancer	5282280
Colorectal cancer	8697
Colorectal cancer	21863
Colorectal cancer	99823
Colorectal cancer	10796774
Colorectal cancer	86290013
Colorectal cancer	193530
Colorectal cancer	11266
Colorectal cancer	21488
Colorectal cancer	43
Colorectal cancer	11065598
Colorectal cancer	1563
Colorectal cancer	69417
Colorectal cancer	12046
Colorectal cancer	9546675
Colorectal cancer	24779494
Colorectal cancer	3080590
Colorectal cancer	9546667
Colorectal cancer	13890535
Colorectal cancer	12665
Colorectal cancer	873
Colorectal cancer	91
Colorectal cancer	547
Colorectal cancer	348154
Colorectal cancer	94235
Colorectal cancer	83126
Colorectal cancer	187488
Colorectal cancer	5283853
Colorectal cancer	10932
Colorectal cancer	64956
Colorectal cancer	123979
Colorectal cancer	10380830
Colorectal cancer	6991982
Colorectal cancer	7420
Colorectal cancer	441
Colorectal cancer	26612
Colorectal cancer	450268
Colorectal cancer	69362
Colorectal cancer	1662
Colorectal cancer	16064
Colorectal cancer	26613
Colorectal cancer	12122
Colorectal cancer	22328017
Colorectal cancer	9972843
Colorectal cancer	47
Colorectal cancer	6999745
Colorectal cancer	64969
Colorectal cancer	6736
Colorectal cancer	563
Colorectal cancer	70639
Colorectal cancer	5283956
Colorectal cancer	18189
Colorectal cancer	20822574
Colorectal cancer	500
Colorectal cancer	126
Colorectal cancer	135
Colorectal cancer	125
Colorectal cancer	10413
Colorectal cancer	637542
Colorectal cancer	151138
Colorectal cancer	151012
Colorectal cancer	5283344
Colorectal cancer	979
Colorectal cancer	5810
Colorectal cancer	9958
Colorectal cancer	6723
Colorectal cancer	134
Colorectal cancer	1136
Colorectal cancer	5312531
Colorectal cancer	88299
Colorectal cancer	56639109
Colorectal cancer	6665
Colorectal cancer	7172135
Colorectal cancer	138
Colorectal cancer	10634
Colorectal cancer	221122
Colorectal cancer	170748
Colorectal cancer	439280
Colorectal cancer	3032849
Colorectal cancer	157
Colorectal cancer	439176
Colorectal cancer	9700
Colorectal cancer	5312378
Colorectal cancer	72924
Colorectal cancer	3014237
Colorectal cancer	91493
Colorectal cancer	53477732
Colorectal cancer	473141
Colorectal cancer	167627
Colorectal cancer	188292
Colorectal cancer	11361
Colorectal cancer	69160
Colorectal cancer	68374
Colorectal cancer	5280581
Colorectal cancer	65154
Colorectal cancer	5282945
Colorectal cancer	5282767
Colorectal cancer	1983
Colorectal cancer	175
Colorectal cancer	96
Colorectal cancer	10972
Colorectal cancer	190
Colorectal cancer	60961
Colorectal cancer	2024
Colorectal cancer	6083
Colorectal cancer	196
Colorectal cancer	199
Colorectal cancer	5460362
Colorectal cancer	656476
Colorectal cancer	79094
Colorectal cancer	102960
Colorectal cancer	417358
Colorectal cancer	259583
Colorectal cancer	2080
Colorectal cancer	418040
Colorectal cancer	426318
Colorectal cancer	53481655
Colorectal cancer	572319
Colorectal cancer	204
Colorectal cancer	11671
Colorectal cancer	49
Colorectal cancer	5280934
Colorectal cancer	108055
Colorectal cancer	14985
Colorectal cancer	469
Colorectal cancer	11824131
Colorectal cancer	159663
Colorectal cancer	112072
Colorectal cancer	5280443
Colorectal cancer	122045
Colorectal cancer	10467
Colorectal cancer	444899
Colorectal cancer	433625
Colorectal cancer	333445
Colorectal cancer	9815009
Colorectal cancer	4441256
Colorectal cancer	332964
Colorectal cancer	13017549
Colorectal cancer	335257
Colorectal cancer	17805101
Colorectal cancer	18218182
Colorectal cancer	18218188
Colorectal cancer	332962
Colorectal cancer	93078
Colorectal cancer	9948926
Colorectal cancer	123831
Colorectal cancer	60823
Colorectal cancer	2266
Colorectal cancer	8215
Colorectal cancer	243
Colorectal cancer	239
Colorectal cancer	2526
Colorectal cancer	247
Colorectal cancer	222284
Colorectal cancer	6857447
Colorectal cancer	21252250
Colorectal cancer	5353439
Colorectal cancer	171548
Colorectal cancer	10257
Colorectal cancer	264
Colorectal cancer	274
Colorectal cancer	1549111
Colorectal cancer	2519
Colorectal cancer	173183
Colorectal cancer	2969
Colorectal cancer	8892
Colorectal cancer	379
Colorectal cancer	9064
Colorectal cancer	22833540
Colorectal cancer	91477
Colorectal cancer	5997
Colorectal cancer	221493
Colorectal cancer	305
Colorectal cancer	5280666
Colorectal cancer	339
Colorectal cancer	12702257
Colorectal cancer	5281127
Colorectal cancer	643798
Colorectal cancer	1081
Colorectal cancer	311
Colorectal cancer	109467
Colorectal cancer	9750
Colorectal cancer	586
Colorectal cancer	588
Colorectal cancer	5459840
Colorectal cancer	969516
Colorectal cancer	7076347
Colorectal cancer	6253
Colorectal cancer	6131
Colorectal cancer	597
Colorectal cancer	5281708
Colorectal cancer	439691
Colorectal cancer	66308
Colorectal cancer	827
Colorectal cancer	83887
Colorectal cancer	13945
Colorectal cancer	10245190
Colorectal cancer	12594
Colorectal cancer	13204
Colorectal cancer	92049
Colorectal cancer	13730
Colorectal cancer	222528
Colorectal cancer	22833539
Colorectal cancer	13711
Colorectal cancer	187790
Colorectal cancer	65058
Colorectal cancer	22833604
Colorectal cancer	13712
Colorectal cancer	10394
Colorectal cancer	92092
Colorectal cancer	439357
Colorectal cancer	5793
Colorectal cancer	23327
Colorectal cancer	439283
Colorectal cancer	5282799
Colorectal cancer	252
Colorectal cancer	649
Colorectal cancer	670
Colorectal cancer	39186
Colorectal cancer	673
Colorectal cancer	69522
Colorectal cancer	92824
Colorectal cancer	10991489
Colorectal cancer	18950
Colorectal cancer	445580
Colorectal cancer	5312557
Colorectal cancer	12736
Colorectal cancer	3893
Colorectal cancer	71082
Colorectal cancer	444718
Colorectal cancer	5779
Colorectal cancer	151261
Colorectal cancer	169019
Colorectal cancer	9060
Colorectal cancer	6276321
Colorectal cancer	440784
Colorectal cancer	6912
Colorectal cancer	135191
Colorectal cancer	5289590
Colorectal cancer	6439848
Colorectal cancer	446284
Colorectal cancer	445639
Colorectal cancer	123917
Colorectal cancer	225688
Colorectal cancer	11055399
Colorectal cancer	9929317
Colorectal cancer	21775588
Colorectal cancer	440735
Colorectal cancer	5281116
Colorectal cancer	169019
Colorectal cancer	2781043
Colorectal cancer	700
Colorectal cancer	18392195
Colorectal cancer	643975
Colorectal cancer	643976
Colorectal cancer	439233
Colorectal cancer	444972
Colorectal cancer	3440
Colorectal cancer	3446
Colorectal cancer	84740
Colorectal cancer	370
Colorectal cancer	119
Colorectal cancer	133098
Colorectal cancer	92865
Colorectal cancer	22885096
Colorectal cancer	151023
Colorectal cancer	7009567
Colorectal cancer	111299
Colorectal cancer	5280933
Colorectal cancer	14986
Colorectal cancer	5280961
Colorectal cancer	3469
Colorectal cancer	10690
Colorectal cancer	439213
Colorectal cancer	5958
Colorectal cancer	7010587
Colorectal cancer	57315376
Colorectal cancer	9813855
Colorectal cancer	9856500
Colorectal cancer	7015703
Colorectal cancer	100094
Colorectal cancer	515717
Colorectal cancer	6992567
Colorectal cancer	743
Colorectal cancer	439194
Colorectal cancer	753
Colorectal cancer	439162
Colorectal cancer	750
Colorectal cancer	5317750
Colorectal cancer	23617285
Colorectal cancer	757
Colorectal cancer	12310288
Colorectal cancer	11163
Colorectal cancer	259613
Colorectal cancer	92843
Colorectal cancer	96757
Colorectal cancer	97415
Colorectal cancer	79101
Colorectal cancer	351980
Colorectal cancer	102763
Colorectal cancer	92829
Colorectal cancer	97417
Colorectal cancer	764
Colorectal cancer	6802
Colorectal cancer	10465
Colorectal cancer	79718
Colorectal cancer	8094
Colorectal cancer	72281
Colorectal cancer	10459
Colorectal cancer	566787
Colorectal cancer	17472?
Colorectal cancer	6426853
Colorectal cancer	99463
Colorectal cancer	464
Colorectal cancer	774
Colorectal cancer	351667
Colorectal cancer	351662
Colorectal cancer	4060215
Colorectal cancer	440549
Colorectal cancer	4466133
Colorectal cancer	14324830
Colorectal cancer	6539217
Colorectal cancer	18218216
Colorectal cancer	65072
Colorectal cancer	778
Colorectal cancer	3639
Colorectal cancer	107
Colorectal cancer	14340
Colorectal cancer	53481699
Colorectal cancer	83697
Colorectal cancer	57357187
Colorectal cancer	94180
Colorectal cancer	9378
Colorectal cancer	68152
Colorectal cancer	964
Colorectal cancer	790
Colorectal cancer	70630
Colorectal cancer	69867
Colorectal cancer	3744
Colorectal cancer	802?
Colorectal cancer	25200879
Colorectal cancer	92904
Colorectal cancer	10258
Colorectal cancer	6021
Colorectal cancer	6590
Colorectal cancer	12587
Colorectal cancer	5246009
Colorectal cancer	9900561
Colorectal cancer	4414300
Colorectal cancer	14304554
Colorectal cancer	18218218
Colorectal cancer	342532
Colorectal cancer	342532
Colorectal cancer	13817313
Colorectal cancer	17863274
Colorectal cancer	435728
Colorectal cancer	14426033
Colorectal cancer	18218220
Colorectal cancer	9797038
Colorectal cancer	342468?
Colorectal cancer	435949
Colorectal cancer	36247
Colorectal cancer	10430
Colorectal cancer	546304
Colorectal cancer	5280863
Colorectal cancer	70
Colorectal cancer	3845
Colorectal cancer	643327
Colorectal cancer	7045767
Colorectal cancer	5950
Colorectal cancer	99288
Colorectal cancer	99289
Colorectal cancer	80283
Colorectal cancer	246983
Colorectal cancer	439195
Colorectal cancer	439255
Colorectal cancer	6322
Colorectal cancer	6267
Colorectal cancer	5960
Colorectal cancer	65728
Colorectal cancer	2724480
Colorectal cancer	5862
Colorectal cancer	67678
Colorectal cancer	442106
Colorectal cancer	92779
Colorectal cancer	259321
Colorectal cancer	3800205
Colorectal cancer	4128305
Colorectal cancer	5259589
Colorectal cancer	79070
Colorectal cancer	435718
Colorectal cancer	94244
Colorectal cancer	118276
Colorectal cancer	259325
Colorectal cancer	3621685
Colorectal cancer	18218222
Colorectal cancer	329275
Colorectal cancer	273262
Colorectal cancer	352038
Colorectal cancer	259327
Colorectal cancer	149096
Colorectal cancer	2724705
Colorectal cancer	11579
Colorectal cancer	25310
Colorectal cancer	33032
Colorectal cancer	5961
Colorectal cancer	6274
Colorectal cancer	12647
Colorectal cancer	3676
Colorectal cancer	6435901
Colorectal cancer	5280450
Colorectal cancer	6306
Colorectal cancer	9903
Colorectal cancer	53477716
Colorectal cancer	61503
Colorectal cancer	6106
Colorectal cancer	5962
Colorectal cancer	222656
Colorectal cancer	6137
Colorectal cancer	4656408
Colorectal cancer	21236?
Colorectal cancer	11953814
Colorectal cancer	11953816
Colorectal cancer	6140
Colorectal cancer	145742
Colorectal cancer	439204
Colorectal cancer	5951
Colorectal cancer	92092
Colorectal cancer	5460407
Colorectal cancer	6288
Colorectal cancer	6305
Colorectal cancer	6057
Colorectal cancer	5280818
Colorectal cancer	440783
Colorectal cancer	5280445
Colorectal cancer	6287
Colorectal cancer	6971043
Colorectal cancer	18218225
Colorectal cancer	4682588
Colorectal cancer	3459978
Colorectal cancer	3463816
Colorectal cancer	14693924
Colorectal cancer	140709
Colorectal cancer	525
Colorectal cancer	867
Colorectal cancer	142577
Colorectal cancer	439616
Colorectal cancer	6251
Colorectal cancer	439198
Colorectal cancer	847
Colorectal cancer	14878381
Colorectal cancer	100048
Colorectal cancer	18218230
Colorectal cancer	23274410
Colorectal cancer	12284
Colorectal cancer	7456
Colorectal cancer	13130
Colorectal cancer	10349
Colorectal cancer	4171
Colorectal cancer	5283468
Colorectal cancer	11005
Colorectal cancer	5281119
Colorectal cancer	69698
Colorectal cancer	440120
Colorectal cancer	92832
Colorectal cancer	92001849
Colorectal cancer	67427
Colorectal cancer	5255
Colorectal cancer	440552
Colorectal cancer	189087
Colorectal cancer	439174
Colorectal cancer	84265
Colorectal cancer	185
Colorectal cancer	25561
Colorectal cancer	273260
Colorectal cancer	306109
Colorectal cancer	88064
Colorectal cancer	65065
Colorectal cancer	70912
Colorectal cancer	6180
Colorectal cancer	74839
Colorectal cancer	68310
Colorectal cancer	11096158
Colorectal cancer	5462244
Colorectal cancer	445063
Colorectal cancer	66141
Colorectal cancer	122356
Colorectal cancer	152204
Colorectal cancer	700653
Colorectal cancer	227752
Colorectal cancer	192590
Colorectal cancer	156391
Colorectal cancer	439246
Colorectal cancer	464
Colorectal cancer	88412
Colorectal cancer	5281120
Colorectal cancer	6995182
Colorectal cancer	936
Colorectal cancer	161234
Colorectal cancer	938
Colorectal cancer	643474
Colorectal cancer	69217
Colorectal cancer	439377
Colorectal cancer	4657542
Colorectal cancer	5283454
Colorectal cancer	12591
Colorectal cancer	439575
Colorectal cancer	47579
Colorectal cancer	22788191
Colorectal cancer	21117855
Colorectal cancer	53477693
Colorectal cancer	34900
Colorectal cancer	70095
Colorectal cancer	8221
Colorectal cancer	78798
Colorectal cancer	5283387
Colorectal cancer	10494
Colorectal cancer	445639
Colorectal cancer	6436908
Colorectal cancer	46907933
Colorectal cancer	1015
Colorectal cancer	6262
Colorectal cancer	967
Colorectal cancer	51
Colorectal cancer	985
Colorectal cancer	69421
Colorectal cancer	445638
Colorectal cancer	9939941
Colorectal cancer	4671
Colorectal cancer	978
Colorectal cancer	4120027
Colorectal cancer	6613
Colorectal cancer	4678
Colorectal cancer	83939
Colorectal cancer	4687
Colorectal cancer	2879
Colorectal cancer	4615423
Colorectal cancer	445929
Colorectal cancer	8158
Colorectal cancer	13849
Colorectal cancer	996
Colorectal cancer	74426
Colorectal cancer	999
Colorectal cancer	92258
Colorectal cancer	352040
Colorectal cancer	335051
Colorectal cancer	4422358
Colorectal cancer	98207
Colorectal cancer	18218232
Colorectal cancer	13890414
Colorectal cancer	65104
Colorectal cancer	9859812
Colorectal cancer	14410593
Colorectal cancer	13341191
Colorectal cancer	4096934
Colorectal cancer	3848
Colorectal cancer	1004
Colorectal cancer	1014
Colorectal cancer	1017
Colorectal cancer	328
Colorectal cancer	127
Colorectal cancer	26840
Colorectal cancer	5280435
Colorectal cancer	122121
Colorectal cancer	385
Colorectal cancer	849
Colorectal cancer	8082
Colorectal cancer	638024
Colorectal cancer	4911
Colorectal cancer	115244
Colorectal cancer	418041
Colorectal cancer	98206
Colorectal cancer	5226097
Colorectal cancer	18218238
Colorectal cancer	1032
Colorectal cancer	1030
Colorectal cancer	72
Colorectal cancer	7028
Colorectal cancer	15047
Colorectal cancer	730000
Colorectal cancer	1045
Colorectal cancer	1050
Colorectal cancer	1054
Colorectal cancer	7405
Colorectal cancer	20977730
Colorectal cancer	152416
Colorectal cancer	11010621
Colorectal cancer	1060
Colorectal cancer	3329
Colorectal cancer	441074
Colorectal cancer	10542
Colorectal cancer	25310
Colorectal cancer	493570
Colorectal cancer	445408
Colorectal cancer	5143
Colorectal cancer	160556
Colorectal cancer	338
Colorectal cancer	10253
Colorectal cancer	121596205
Colorectal cancer	1088
Colorectal cancer	5192
Colorectal cancer	74328989
Colorectal cancer	5202
Colorectal cancer	18218240
Colorectal cancer	13919048
Colorectal cancer	21285384
Colorectal cancer	14647613
Colorectal cancer	18218242
Colorectal cancer	637775
Colorectal cancer	65727
Colorectal cancer	5780
Colorectal cancer	1102
Colorectal cancer	91486
Colorectal cancer	5353955
Colorectal cancer	11975273
Colorectal cancer	5281
Colorectal cancer	5312508
Colorectal cancer	6453725
Colorectal cancer	52922056
Colorectal cancer	27902
Colorectal cancer	15559396
Colorectal cancer	5280794
Colorectal cancer	10457
Colorectal cancer	1110
Colorectal cancer	5066234
Colorectal cancer	5988
Colorectal cancer	53477756
Colorectal cancer	80642
Colorectal cancer	169148
Colorectal cancer	10742
Colorectal cancer	1123
Colorectal cancer	387316
Colorectal cancer	6675
Colorectal cancer	2733768
Colorectal cancer	440071
Colorectal cancer	12443252
Colorectal cancer	11197
Colorectal cancer	13185
Colorectal cancer	8200
Colorectal cancer	5429
Colorectal cancer	2153
Colorectal cancer	1130
Colorectal cancer	151152
Colorectal cancer	18218246
Colorectal cancer	4420322
Colorectal cancer	4099798
Colorectal cancer	416721
Colorectal cancer	5789
Colorectal cancer	1135
Colorectal cancer	12456386
Colorectal cancer	445858
Colorectal cancer	1178
Colorectal cancer	5283028
Colorectal cancer	17085
Colorectal cancer	5570
Colorectal cancer	1145
Colorectal cancer	1150
Colorectal cancer	263475
Colorectal cancer	3634442
Colorectal cancer	263471
Colorectal cancer	19816755
Colorectal cancer	323786
Colorectal cancer	4427709
Colorectal cancer	14409732
Colorectal cancer	318292
Colorectal cancer	13783081
Colorectal cancer	19816756
Colorectal cancer	5610
Colorectal cancer	10393
Colorectal cancer	4078684
Colorectal cancer	19816750
Colorectal cancer	19421321
Colorectal cancer	14282475
Colorectal cancer	4466134
Colorectal cancer	3421919
Colorectal cancer	5057430
Colorectal cancer	14767562
Colorectal cancer	15816
Colorectal cancer	8180
Colorectal cancer	1174
Colorectal cancer	1176
Colorectal cancer	111
Colorectal cancer	1175
Colorectal cancer	6029
Colorectal cancer	736715
Colorectal cancer	31401
Colorectal cancer	64945
Colorectal cancer	5281127
Colorectal cancer	7991
Colorectal cancer	235009
Colorectal cancer	334517
Colorectal cancer	4266827
Colorectal cancer	9964657
Colorectal cancer	5058636
Colorectal cancer	5253209
Colorectal cancer	136487
Colorectal cancer	18218255
Colorectal cancer	5246012
Colorectal cancer	352039
Colorectal cancer	5253210
Colorectal cancer	292427
Colorectal cancer	144746
Colorectal cancer	139506
Colorectal cancer	4046492
Colorectal cancer	3360287
Colorectal cancer	4065033
Colorectal cancer	409682
Colorectal cancer	8468
Colorectal cancer	1183
Colorectal cancer	736172
Colorectal cancer	1188
Colorectal cancer	64959
Colorectal cancer	5699
Colorectal cancer	9561835
Colorectal cancer	3080590
Combined malonic and methylmalonic aciduria	867
Combined malonic and methylmalonic aciduria	487
Combined oxidative phosphorylation deficiency 10	61503
"Congenital Adrenal Hyperplasia, due to 17-Hydroxylase-Deficiency"	24758425
"Congenital Adrenal Hyperplasia, due to 17-Hydroxylase-Deficiency"	5754
"Congenital Adrenal Hyperplasia, due to 17-Hydroxylase-Deficiency"	12594
"Congenital Adrenal Hyperplasia, due to 17-Hydroxylase-Deficiency"	6166
"Congenital Adrenal Hyperplasia, due to 17-Hydroxylase-Deficiency"	5757
"Congenital Adrenal Hyperplasia, due to 17-Hydroxylase-Deficiency"	813
"Congenital Adrenal Hyperplasia, due to 17-Hydroxylase-Deficiency"	10204
"Congenital Adrenal Hyperplasia, due to 21-Hydroxylase-Deficiency"	6452574
"Congenital Adrenal Hyperplasia, due to 21-Hydroxylase-Deficiency"	6238
"Congenital Adrenal Hyperplasia, due to 21-Hydroxylase-Deficiency"	222803
"Congenital Adrenal Hyperplasia, due to 21-Hydroxylase-Deficiency"	6128
"Congenital cataracts, hearing loss, and neurodegeneration"	27099
Congenital chloride diarrhea	24758425
Congenital chloride diarrhea	24526
Congenital chloride diarrhea	767
Congenital chloride diarrhea	813
Congenital chloride diarrhea	923
congenital disorder of glycosylation CDG-Ia	1175
Congenital secretory diarrhea	24526
Congenital secretory diarrhea	767
Congenital secretory diarrhea	813
Congenital secretory diarrhea	923
Congestive heart failure	53477703
Congestive heart failure	105068
Continuous ambulatory peritoneal dialysis	247
Continuous ambulatory peritoneal dialysis	774
Continuous ambulatory peritoneal dialysis	778
Continuous ambulatory peritoneal dialysis	32051
Convulsion	53481539
Convulsion	3845
Convulsion	849
Convulsion	1066
Coronary artery disease	6021
Coronary artery disease	5280914
Coronary heart disease	784
Coronary heart disease	5280497
Cortical myoclonus	10805
Corticosterone methyl oxidase I deficiency	24758425
Corticosterone methyl oxidase I deficiency	5754
Corticosterone methyl oxidase I deficiency	813
Corticosterone methyl oxidase I deficiency	923
Cresol poisoning IBS	342
Cresol poisoning IBS	335
Creutzfeldt-Jakob disease	778
Crigler-Najjar syndrome type I	21252250
Critical illnesses	6021
Crohn's disease	18827
Crohn's disease	263
Crohn's disease	8103
Crohn's disease	10703
Crohn's disease	7731
Crohn's disease	3614
Crohn's disease	11747
Crohn's disease	12266
Crohn's disease	6119
Crohn's disease	6568
Crohn's disease	12741
Crohn's disease	22556
Crohn's disease	74346
Crohn's disease	8051
Crohn's disease	10796774
Crohn's disease	522067
Crohn's disease	515
Crohn's disease	6561
Crohn's disease	13187
Crohn's disease	8093
Crohn's disease	11583
Crohn's disease	7895
Crohn's disease	19602
Crohn's disease	12665
Crohn's disease	8163
Crohn's disease	79089
Crohn's disease	441
Crohn's disease	6999745
Crohn's disease	6736
Crohn's disease	12024
Crohn's disease	5810
Crohn's disease	6723
Crohn's disease	221122
Crohn's disease	1826
Crohn's disease	439280
Crohn's disease	12097
Crohn's disease	8034
Crohn's disease	92918
Crohn's disease	123743
Crohn's disease	13932172
Crohn's disease	177
Crohn's disease	175
Crohn's disease	96
Crohn's disease	180
Crohn's disease	7410
Crohn's disease	190
Crohn's disease	60961
Crohn's disease	5111
Crohn's disease	204
Crohn's disease	204
Crohn's disease	70678558
Crohn's disease	86609
Crohn's disease	7407
Crohn's disease	7460
Crohn's disease	469
Crohn's disease	61157688
Crohn's disease	332962
Crohn's disease	240
Crohn's disease	239
Crohn's disease	247
Crohn's disease	21252250
Crohn's disease	15380
Crohn's disease	261
Crohn's disease	6569
Crohn's disease	264
Crohn's disease	273
Crohn's disease	8892
Crohn's disease	379
Crohn's disease	6348
Crohn's disease	439224
Crohn's disease	221493
Crohn's disease	305
Crohn's disease	311
Crohn's disease	9750
Crohn's disease	586
Crohn's disease	588
Crohn's disease	6076
Crohn's disease	8078
Crohn's disease	7967
Crohn's disease	6253
Crohn's disease	597
Crohn's disease	83887
Crohn's disease	10245190
Crohn's disease	13711
Crohn's disease	13712
Crohn's disease	23327
Crohn's disease	650
Crohn's disease	19310
Crohn's disease	12232
Crohn's disease	673
Crohn's disease	1068
Crohn's disease	439167
Crohn's disease	6276321
Crohn's disease	440784
Crohn's disease	135191
Crohn's disease	702
Crohn's disease	8857
Crohn's disease	7762
Crohn's disease	7945
Crohn's disease	7749
Crohn's disease	7500
Crohn's disease	8314
Crohn's disease	5988
Crohn's disease	119
Crohn's disease	123938
Crohn's disease	11736661
Crohn's disease	751
Crohn's disease	280
Crohn's disease	753
Crohn's disease	750
Crohn's disease	23617285
Crohn's disease	763
Crohn's disease	6802
Crohn's disease	8130
Crohn's disease	8094
Crohn's disease	6184
Crohn's disease	8085
Crohn's disease	6426853
Crohn's disease	464
Crohn's disease	780
Crohn's disease	107
Crohn's disease	790
Crohn's disease	798
Crohn's disease	6021
Crohn's disease	8582
Crohn's disease	6590
Crohn's disease	31276
Crohn's disease	3776
Crohn's disease	11552
Crohn's disease	10430
Crohn's disease	3845
Crohn's disease	7045767
Crohn's disease	5950
Crohn's disease	6322
Crohn's disease	6267
Crohn's disease	5960
Crohn's disease	439258
Crohn's disease	33032
Crohn's disease	5961
Crohn's disease	6274
Crohn's disease	12647
Crohn's disease	6306
Crohn's disease	161166
Crohn's disease	61503
Crohn's disease	6106
Crohn's disease	5962
Crohn's disease	6137
Crohn's disease	11953814
Crohn's disease	6140
Crohn's disease	145742
Crohn's disease	5951
Crohn's disease	6288
Crohn's disease	6305
Crohn's disease	6057
Crohn's disease	5280818
Crohn's disease	6287
Crohn's disease	297
Crohn's disease	878
Crohn's disease	887
Crohn's disease	13357
Crohn's disease	62434
Crohn's disease	6584
Crohn's disease	12180
Crohn's disease	20748
Crohn's disease	7824
Crohn's disease	12206
Crohn's disease	11124
Crohn's disease	16592
Crohn's disease	12100
Crohn's disease	6329
Crohn's disease	150914
Crohn's disease	15600
Crohn's disease	4455
Crohn's disease	21122973
Crohn's disease	936
Crohn's disease	938
Crohn's disease	31289
Crohn's disease	8141
Crohn's disease	522556
Crohn's disease	1237
Crohn's disease	454
Crohn's disease	379
